transaction_id,account_id,iban,counterparty_iban,amount_gbp,currency,transaction_type,merchant_category,country_code,event_timestamp,device_id,ip_country,is_international
TXN-7D86718B,ACC-74332,GB67NWBK01436349578856,,971.13,GBP,CARD,WIRE_TRANSFER,KP,2024-01-15 20:30:00,DEV-6419,KP,true
TXN-7263FF65,ACC-51359,GB25NWBK82337498941343,GB56NWBK24082400842710,498.96,GBP,BACS,MONEY_TRANSFER,GB,2024-01-15 21:00:00,DEV-5658,GB,false
TXN-796E1AC5,ACC-72616,GB24NWBK16719022941318,GB63NWBK99938677496499,908.85,GBP,CHAPS,MONEY_TRANSFER,GB,2024-01-15 21:30:00,DEV-1986,GB,false
TXN-1851DF9E,ACC-32782,GB80NWBK12067974034471,,1701.43,GBP,CARD,WIRE_TRANSFER,GB,2024-01-15 22:00:00,DEV-4824,GB,false
TXN-766B8476,ACC-28643,GB19NWBK02499471746488,GB73NWBK71906594013990,718.4,GBP,BACS,WIRE_TRANSFER,GB,2024-01-15 22:30:00,DEV-5415,GB,false
TXN-062A9D7A,ACC-86720,GB65NWBK71756551256746,,881.98,GBP,CARD,CRYPTO,GB,2024-01-15 23:00:00,DEV-1601,GB,false
TXN-BB5E60D8,ACC-10150,GB94NWBK87603859770348,GB26NWBK47710932480861,541.69,GBP,CHAPS,RETAIL,FR,2024-01-15 23:30:00,DEV-4681,FR,true
TXN-8F9CDF59,ACC-71894,GB41NWBK78263982146584,,178.01,GBP,CARD,MONEY_TRANSFER,FR,2024-01-16 00:00:00,DEV-1042,FR,true
TXN-2B4889A1,ACC-68529,GB78NWBK75588675339636,GB15NWBK57662702895171,8667.18,GBP,BACS,GAMBLING,KP,2024-01-16 00:30:00,DEV-9617,KP,true
TXN-D619175F,ACC-54375,GB89NWBK61586578091343,GB21NWBK61172400504556,2893.31,GBP,CHAPS,GROCERY,GB,2024-01-16 01:00:00,DEV-3385,GB,false
TXN-2D726A23,ACC-89887,GB58NWBK93792374740748,GB30NWBK17594647436713,2484.13,GBP,FPS,TRAVEL,GB,2024-01-16 01:30:00,DEV-7248,GB,false
TXN-B21A528D,ACC-75107,GB46NWBK39533942104709,GB56NWBK21456232858842,288.03,GBP,BACS,GAMBLING,GB,2024-01-16 02:00:00,DEV-5210,GB,false
TXN-69CBBBB9,ACC-19869,GB28NWBK36851604817549,GB58NWBK51370985931746,2862.5,GBP,CHAPS,GAMBLING,GB,2024-01-16 02:30:00,DEV-2911,GB,false
TXN-EC8AB5C1,ACC-40775,GB78NWBK26758692617964,GB14NWBK53773515850643,5714.77,GBP,FPS,GROCERY,KP,2024-01-16 03:00:00,DEV-3001,KP,true
TXN-42676BDA,ACC-16629,GB52NWBK32931839335290,GB45NWBK22842102053950,3529.85,GBP,CHAPS,RETAIL,RU,2024-01-16 03:30:00,DEV-3854,RU,true
TXN-0FDD1AB7,ACC-72422,GB67NWBK58917839084700,GB71NWBK66177115921249,208.78,GBP,BACS,GROCERY,GB,2024-01-16 04:00:00,DEV-9984,GB,false
TXN-C1E3E316,ACC-24996,GB93NWBK83673657661565,GB95NWBK45271111615280,810.9,GBP,BACS,TRAVEL,GB,2024-01-16 04:30:00,DEV-6400,GB,false
TXN-3BDDFAF6,ACC-16743,GB46NWBK94519832731585,,355.77,GBP,CARD,TRAVEL,FR,2024-01-16 05:00:00,DEV-2882,FR,true
TXN-2537582C,ACC-96223,GB98NWBK40244550229612,GB91NWBK01836675254599,2484.83,GBP,BACS,WIRE_TRANSFER,GB,2024-01-16 05:30:00,DEV-2391,GB,false
TXN-C2971485,ACC-96761,GB64NWBK79764381561497,,109.2,GBP,CARD,CRYPTO,GB,2024-01-16 06:00:00,DEV-9633,GB,false
TXN-007CB1FF,ACC-33028,GB26NWBK68388516060715,GB83NWBK69664160529751,2854.55,GBP,BACS,GROCERY,GB,2024-01-16 06:30:00,DEV-8155,FR,false
TXN-38F60496,ACC-50668,GB53NWBK35218188355231,,832.07,GBP,CARD,WIRE_TRANSFER,GB,2024-01-16 07:00:00,DEV-3399,GB,false
TXN-E447BE88,ACC-92306,GB73NWBK79979955271774,GB45NWBK90581477005411,406.75,GBP,BACS,WIRE_TRANSFER,GB,2024-01-16 07:30:00,DEV-9307,GB,false
TXN-FDDFC0FA,ACC-84928,GB93NWBK35978207151820,GB41NWBK77889255466590,100352.52,GBP,CHAPS,MONEY_TRANSFER,GB,2024-01-16 08:00:00,DEV-6482,GB,false
TXN-32B6BB5A,ACC-53694,GB20NWBK92546291486528,,146.85,GBP,CARD,FUEL,RU,2024-01-16 08:30:00,DEV-2531,RU,true
TXN-FC1CB7BC,ACC-73736,GB34NWBK32214188805929,GB58NWBK22292706537947,182.41,GBP,CHAPS,FUEL,GB,2024-01-16 09:00:00,DEV-4833,GB,false
TXN-62E965EE,ACC-70513,GB46NWBK68862392407581,GB76NWBK14124782613750,3982.97,GBP,FPS,GAMBLING,RU,2024-01-16 09:30:00,DEV-7797,RU,true
TXN-EBE0DA1F,ACC-13694,GB50NWBK15220472779010,,1104.07,GBP,CARD,TRAVEL,GB,2024-01-16 10:00:00,DEV-5193,GB,false
TXN-AFAB8A66,ACC-47762,GB40NWBK41036971179808,GB83NWBK32460953962185,1737.88,GBP,FPS,CRYPTO,IR,2024-01-16 10:30:00,DEV-2108,IR,true
